id,key,value,type
55813156,highway,traffic_signals,regular
55813156,source,Bing,regular
55813776,highway,turning_circle,regular
55813776,source,Bing,regular
55813796,highway,traffic_signals,regular
55813861,railway,level_crossing,regular
55814035,highway,turning_circle,regular
55814359,railway,level_crossing,regular
55815538,highway,turning_circle,regular
55815538,source,Bing,regular
55815581,highway,turning_circle,regular
55816765,highway,turning_circle,regular
55816765,source,Bing,regular
55816991,highway,turning_circle,regular
55816991,source,Bing,regular
55817196,highway,turning_circle,regular
55817196,source,Bing,regular
55817855,highway,crossing,regular
55818508,highway,turning_circle,regular
55818617,highway,turning_circle,regular
55818630,highway,turning_circle,regular
55818630,source,Bing,regular
55819334,highway,turning_circle,regular
55819357,highway,turning_circle,regular
55819404,highway,traffic_signals,regular
55819843,railway,level_crossing,regular
55820489,highway,turning_circle,regular
55820775,highway,turning_circle,regular
55820775,source,Bing,regular
55822108,highway,turning_circle,regular
55822108,source,Bing,regular
55822122,highway,turning_circle,regular
55822718,highway,turning_circle,regular
55823851,highway,traffic_signals,regular
55823852,railway,level_crossing,regular
55823861,highway,turning_circle,regular
55823861,source,Bing,regular
55823876,highway,turning_circle,regular
55823961,highway,turning_circle,regular
55824666,highway,turning_circle,regular
55824666,source,Bing,regular
55824774,highway,turning_circle,regular
55824775,highway,turning_circle,regular
55824811,highway,turning_circle,regular
55825059,highway,turning_circle,regular
55825204,highway,turning_circle,regular
55825380,highway,turning_circle,regular
55825380,source,Bing,regular
55825546,highway,turning_circle,regular
55825551,highway,turning_circle,regular
55825655,highway,turning_circle,regular
55825655,source,Bing,regular
55826045,highway,turning_circle,regular
55826045,source,Bing,regular
55826057,highway,turning_circle,regular
55826057,source,Bing,regular
55826073,highway,turning_circle,regular
55826107,highway,turning_circle,regular
55826109,highway,turning_circle,regular
55826109,source,Bing,regular
55826163,highway,turning_circle,regular
55826163,source,Bing,regular
55826165,highway,turning_circle,regular
55826165,source,Bing,regular
55826403,highway,turning_circle,regular
55826403,source,Bing,regular
55826784,railway,level_crossing,regular
55827137,railway,level_crossing,regular
55827430,highway,turning_circle,regular
55827430,source,Bing,regular
55827436,highway,turning_circle,regular
55827436,source,Bing,regular
55827444,highway,turning_circle,regular
55827444,source,Bing,regular
55827455,highway,turning_circle,regular
55827455,source,Bing,regular
55827490,railway,level_crossing,regular
55827537,highway,turning_circle,regular
55828010,highway,turning_circle,regular
55828010,source,Bing,regular
55828578,highway,turning_circle,regular
55828578,source,Bing,regular
55828643,railway,level_crossing,regular
55828881,highway,turning_circle,regular
55828939,highway,turning_circle,regular
55828954,highway,turning_circle,regular
55828966,highway,turning_circle,regular
55829243,highway,turning_circle,regular
55829459,lights,yes,crossing
55829459,railway,level_crossing,regular
55829459,source,Bing,regular
55829463,lights,yes,crossing
55829463,railway,level_crossing,regular
55829463,source,Bing,regular
55829478,lights,yes,crossing
55829478,railway,level_crossing,regular
55829478,source,Bing,regular
55829637,highway,traffic_signals,regular
55829637,source,Bing,regular
55830696,railway,level_crossing,regular
55831669,highway,turning_circle,regular
55831669,source,Bing,regular
55831761,highway,turning_circle,regular
55831761,source,Bing,regular
55831990,highway,turning_circle,regular
55832112,highway,turning_circle,regular
55832392,highway,turning_circle,regular
55832392,source,Bing,regular
55832452,highway,turning_circle,regular
55832452,source,Bing,regular
55832542,highway,turning_circle,regular
55832559,highway,turning_circle,regular
55832559,source,Bing,regular
55833786,highway,turning_circle,regular
55833795,highway,turning_circle,regular
55833934,highway,turning_circle,regular
55834017,highway,turning_circle,regular
55834171,highway,turning_circle,regular
55834287,highway,turning_circle,regular
55834520,highway,turning_circle,regular
55834520,source,Bing,regular
55836157,highway,turning_circle,regular
55836474,railway,crossing,regular
55836496,railway,level_crossing,regular
55836574,railway,level_crossing,regular
55836583,railway,crossing,regular
55836664,railway,level_crossing,regular
55836681,railway,level_crossing,regular
55836976,highway,turning_circle,regular
55836976,source,Bing,regular
55836987,highway,turning_circle,regular
55836987,source,Bing,regular
55836997,highway,turning_circle,regular
55837075,highway,turning_circle,regular
55837075,source,Bing,regular
55837297,highway,turning_circle,regular
55837297,source,Bing,regular
55837551,highway,turning_circle,regular
55837621,highway,turning_circle,regular
55837707,highway,turning_circle,regular
